omitted_station,beta_minus_g_manual,change_from_full_beta,absolute_change_from_full_beta,sign
PO018047NR0001,26.43557459330306,32.90002216564072,32.90002216564072,positive
PO0181140U0002,-8.634503864662527,-2.170056292324868,2.170056292324868,negative
PO018173NUP001,-8.056322406398323,-1.5918748340606639,1.5918748340606639,negative
PO0181100U0111,-7.25950308379658,-0.7950555114589211,0.7950555114589211,negative
PO018162NUP001,-6.904247239726853,-0.4397996673891944,0.4397996673891944,negative
PO018072NUP001,-6.144264820535657,0.32018275180200195,0.32018275180200195,negative
PO018180NUP001,-6.670996965600002,-0.20654939326234345,0.20654939326234345,negative
PO018048NRP001,-6.291143956461306,0.17330361587635323,0.17330361587635323,negative
PO018176NUP001,-6.293360843382373,0.1710867289552862,0.1710867289552862,negative
PO018043NUP001,-6.341697759438215,0.12274981289944353,0.12274981289944353,negative
PO0180480U0004,-6.343423957801362,0.12102361453629662,0.12102361453629662,negative
PO0180810U0111,-6.407348356647783,0.05709921568987575,0.05709921568987575,negative
